tv,hl,wa,seed,epochs,model_type,theta_index
0.0819999916553497,0.1140565646402312,0.0403288709099582,1,5000,Diffusion,0
0.0560000381469726,0.1003745405277248,0.0310153349106555,1,5000,Diffusion,1
0.0520000381469726,0.0907861798346776,0.031736553531787,1,5000,Diffusion,2
0.076000033378601,0.1056859352327857,0.033075862324312,1,5000,Diffusion,3
0.0390000309944152,0.0647149162231558,0.025905181465854,1,5000,Diffusion,4
0.0699999928474426,0.089301740782313,0.0233391819740109,1,5000,Diffusion,5
0.0449999964237213,0.0815727700698487,0.0312896059248156,1,5000,Diffusion,6
0.0300000190734863,0.0631999888333303,0.0187868829037385,1,5000,Diffusion,7
0.0690000023841858,0.0927185337436973,0.0391356978346776,1,5000,Diffusion,8
0.05800004529953,0.0929002212756087,0.0276076993789312,1,5000,Diffusion,9
0.046,0.0869760697951135,0.0232368349057985,1,5000,Diffusion,10
0.0460000166893005,0.0791226876936071,0.0219505556419917,1,5000,Diffusion,11
0.0419999856948852,0.0770085312593862,0.0393084143844684,1,5000,Diffusion,12
0.0370000017881393,0.0747334206154951,0.0220986129107453,1,5000,Diffusion,13
0.08700000238418579,0.1259524585471211,0.04214082644814353,2,5000,Diffusion,0
0.0810000405311585,0.12012879070884903,0.037410026866016216,2,5000,Diffusion,1
0.08100003814697265,0.1271178165939147,0.039652548935515564,2,5000,Diffusion,2
0.08200004291534424,0.11399030712439659,0.03512563061773923,2,5000,Diffusion,3
0.06299999046325688,0.10062628623184401,0.026276326151931075,2,5000,Diffusion,4
0.04500000476837157,0.07399356170186311,0.032590184135497906,2,5000,Diffusion,5
0.04800004053115847,0.06982624851449798,0.015010927168627093,2,5000,Diffusion,6
0.025999997615814202,0.06431412888972471,0.02938920285547792,2,5000,Diffusion,7
0.0700000011920929,0.10996525600471443,0.03791426192500899,2,5000,Diffusion,8
0.06200000238418579,0.10168770816872155,0.035246722347287734,2,5000,Diffusion,9
0.07000001192092897,0.09497460637084695,0.02415479347592904,2,5000,Diffusion,10
0.08700002145767216,0.10422301156334038,0.02917324839921899,2,5000,Diffusion,11
0.05499999523162841,0.0917264465921686,0.029291353054078414,2,5000,Diffusion,12
0.03800000476837162,0.07445097602000228,0.016092301802183788,2,5000,Diffusion,13
